Filter,,
,,
1,,
1,73527,73527
2,15842,31684
3,7742,23226
4,4747,18988
5,3315,16575
6,2464,14784
7,1944,13608
8,1589,12712
9,1261,11349
10,1030,10300
11,834,9174
12,732,8784
13,680,8840
14,568,7952
15,542,8130
16,481,7696
17,450,7650
18,373,6714
19,376,7144
20,311,6220
21,310,6510
22,288,6336
23,248,5704
24,237,5688
25,201,5025
26,203,5278
27,199,5373
28,165,4620
29,180,5220
30,162,4860
31,164,5084
32,145,4640
33,142,4686
34,133,4522
35,128,4480
36,117,4212
37,92,3404
38,112,4256
39,107,4173
40,103,4120
41,95,3895
42,96,4032
43,91,3913
44,82,3608
45,85,3825
46,70,3220
47,73,3431
48,55,2640
49,64,3136
50,75,3750
51,68,3468
52,55,2860
53,58,3074
54,58,3132
55,55,3025
56,54,3024
57,53,3021
58,44,2552
59,53,3127
60,52,3120
61,42,2562
62,51,3162
63,37,2331
64,46,2944
65,39,2535
66,42,2772
67,34,2278
68,37,2516
69,31,2139
70,36,2520
71,31,2201
72,30,2160
73,36,2628
74,38,2812
75,30,2250
76,13,988
77,27,2079
78,36,2808
79,32,2528
80,28,2240
81,32,2592
82,33,2706
83,39,3237
84,33,2772
85,28,2380
86,34,2924
87,22,1914
88,28,2464
89,26,2314
90,19,1710
91,19,1729
92,22,2024
93,24,2232
94,28,2632
95,20,1900
96,27,2592
97,22,2134
98,20,1960
99,29,2871
100,20,2000
101,12,1212
102,19,1938
103,14,1442
104,22,2288
105,16,1680
106,19,2014
107,9,963
108,31,3348
109,20,2180
110,14,1540
111,15,1665
112,6,672
113,17,1921
114,9,1026
115,17,1955
116,16,1856
117,19,2223
118,9,1062
119,16,1904
120,16,1920
121,13,1573
122,10,1220
123,14,1722
124,12,1488
125,17,2125
126,7,882
127,16,2032
128,8,1024
129,16,2064
130,10,1300
131,11,1441
132,10,1320
133,12,1596
134,7,938
135,13,1755
136,11,1496
137,6,822
138,21,2898
139,12,1668
140,4,560
141,12,1692
142,17,2414
143,16,2288
144,8,1152
145,15,2175
146,11,1606
147,6,882
148,10,1480
149,8,1192
150,5,750
151,4,604
152,8,1216
153,16,2448
154,4,616
155,12,1860
156,8,1248
157,8,1256
158,6,948
159,15,2385
160,2,320
161,6,966
162,8,1296
163,5,815
164,12,1968
165,5,825
166,7,1162
167,4,668
168,12,2016
169,6,1014
170,6,1020
171,8,1368
172,5,860
173,7,1211
174,7,1218
175,3,525
176,2,352
177,5,885
178,8,1424
179,12,2148
180,11,1980
181,3,543
182,3,546
183,8,1464
184,2,368
185,2,370
186,6,1116
187,5,935
188,8,1504
189,4,756
190,2,380
191,3,573
192,2,384
193,4,772
194,11,2134
195,9,1755
196,5,980
197,6,1182
198,9,1782
199,6,1194
200,3,600
201,5,1005
202,8,1616
203,8,1624
204,2,408
205,6,1230
206,5,1030
207,4,828
208,5,1040
209,6,1254
210,3,630
211,3,633
212,4,848
213,5,1065
214,6,1284
215,3,645
216,5,1080
217,7,1519
218,4,872
219,4,876
220,4,880
221,3,663
222,6,1332
223,1,223
224,5,1120
225,11,2475
226,2,452
227,3,681
228,5,1140
229,9,2061
230,2,460
231,2,462
232,7,1624
233,2,466
234,11,2574
235,5,1175
236,5,1180
237,2,474
238,1,238
239,4,956
240,2,480
241,5,1205
242,5,1210
243,2,486
244,2,488
245,6,1470
246,3,738
247,5,1235
248,8,1984
249,3,747
250,4,1000
251,5,1255
252,7,1764
253,2,506
254,3,762
255,5,1275
256,8,2048
257,5,1285
258,3,774
259,1,259
260,3,780
261,3,783
262,3,786
263,2,526
265,8,2120
266,3,798
267,4,1068
268,3,804
269,5,1345
270,3,810
271,6,1626
272,1,272
273,4,1092
274,3,822
275,2,550
276,2,552
277,4,1108
278,3,834
279,3,837
280,1,280
281,3,843
282,4,1128
283,1,283
284,4,1136
285,2,570
286,4,1144
287,2,574
288,2,576
289,4,1156
290,2,580
291,4,1164
292,2,584
293,3,879
294,1,294
295,4,1180
296,1,296
297,1,297
298,2,596
299,4,1196
300,2,600
301,3,903
302,2,604
303,3,909
304,2,608
305,1,305
306,2,612
307,4,1228
308,3,924
309,3,927
310,1,310
311,5,1555
312,2,624
313,5,1565
314,2,628
315,5,1575
316,3,948
317,2,634
318,2,636
319,2,638
320,2,640
322,4,1288
323,4,1292
324,2,648
325,4,1300
326,3,978
327,3,981
328,4,1312
329,5,1645
330,1,330
331,2,662
332,2,664
333,5,1665
334,3,1002
335,2,670
336,2,672
337,2,674
338,1,338
339,2,678
340,2,680
341,6,2046
342,2,684
343,3,1029
344,1,344
345,2,690
346,2,692
347,3,1041
348,1,348
349,1,349
350,2,700
351,2,702
352,2,704
353,4,1412
354,2,708
